date,hour,average_speed_kph
2024-08-08,17:00,21.89
2024-08-08,18:00,16.34
2024-08-08,19:00,16.56
2024-08-08,20:00,17.06
2024-08-08,21:00,13.97
2024-08-08,22:00,19.77
2024-08-08,23:00,19.44
2024-08-09,00:00,26.38
2024-08-09,01:00,19.66
2024-08-09,02:00,29.71
2024-08-09,03:00,46.1
2024-08-09,04:00,42.1
2024-08-09,05:00,31.41
2024-08-09,06:00,19.44
2024-08-09,07:00,26.76
2024-08-09,08:00,24.36
2024-08-09,09:00,15.48
2024-08-09,10:00,16.81
2024-08-09,11:00,17.99
2024-08-09,12:00,15.4
2024-08-09,13:00,16.36
2024-08-09,14:00,19.4
2024-08-09,15:00,16.06
2024-08-09,16:00,18.92
2024-08-09,17:00,17.66
2024-08-09,18:00,19.24
2024-08-09,19:00,18.61
2024-08-09,20:00,17.95
2024-08-09,21:00,16.48
2024-08-09,22:00,17.65
2024-08-09,23:00,21.49
2024-08-10,00:00,29.81
2024-08-10,01:00,27.94
2024-08-10,02:00,33.79
2024-08-10,03:00,34.06
2024-08-10,04:00,40.42
2024-08-10,05:00,39.1
2024-08-10,06:00,21.39
2024-08-10,07:00,28.29
2024-08-10,08:00,30.26
2024-08-10,09:00,25.19
2024-08-10,10:00,18.35
2024-08-10,11:00,16.16
2024-08-10,12:00,12.94
2024-08-10,13:00,9.25
2024-08-10,14:00,14.59
2024-08-10,15:00,14.94
2024-08-10,16:00,11.54
2024-08-10,17:00,14.48
2024-08-10,18:00,14.98
2024-08-10,19:00,18.56
2024-08-10,20:00,15.76
2024-08-10,21:00,16.73
2024-08-10,22:00,18.89
2024-08-10,23:00,19.73
2024-08-11,00:00,26.02
2024-08-11,01:00,29.28
2024-08-11,02:00,31.16
2024-08-11,03:00,27.51
2024-08-11,04:00,17.88
2024-08-11,05:00,31.49
2024-08-11,06:00,26.84
2024-08-11,07:00,20.85
2024-08-11,08:00,30.96
2024-08-11,09:00,22.38
2024-08-11,10:00,20.4
2024-08-11,11:00,18.99
2024-08-11,12:00,15.9
2024-08-11,13:00,15.29
2024-08-11,14:00,13.32
2024-08-11,15:00,6.48
2024-08-11,16:00,10.79
2024-08-11,17:00,17.04
2024-08-11,18:00,17.05
2024-08-11,19:00,16.67
2024-08-11,20:00,12.5
2024-08-11,21:00,14.79
2024-08-11,22:00,17.15
2024-08-11,23:00,19.89
2024-08-12,00:00,25.95
2024-08-12,01:00,22.79
2024-08-12,02:00,30.46
2024-08-12,03:00,21.11
2024-08-12,04:00,31.55
2024-08-12,05:00,37.69
2024-08-12,06:00,17.29
2024-08-12,07:00,26.86
2024-08-12,08:00,17.27
2024-08-12,09:00,20.3
2024-08-12,10:00,17.11
2024-08-12,11:00,12.89
2024-08-12,12:00,11.79
2024-08-12,13:00,10.9
2024-08-12,14:00,8.88
2024-08-12,15:00,9.41
2024-08-12,16:00,16.41
2024-08-12,17:00,16.65
2024-08-12,18:00,12.59
2024-08-12,19:00,16.59
2024-08-12,20:00,17.49
2024-08-12,21:00,15.5
2024-08-12,22:00,23.62
2024-08-12,23:00,23.42
2024-08-13,00:00,31.75
2024-08-13,01:00,29.14
2024-08-13,02:00,29.44
2024-08-13,03:00,31.93
