date,hour,average_speed_kph
2024-08-01,00:00,28.36
2024-08-01,01:00,26.16
2024-08-01,02:00,26.33
2024-08-01,03:00,29.39
2024-08-01,04:00,14.7
2024-08-01,05:00,36.05
2024-08-01,06:00,33.17
2024-08-01,07:00,28.1
2024-08-01,08:00,31.53
2024-08-01,09:00,23.86
2024-08-01,10:00,21.29
2024-08-01,11:00,19.14
2024-08-01,12:00,15.54
2024-08-01,13:00,12.06
2024-08-01,14:00,15.63
2024-08-01,15:00,18.86
2024-08-01,16:00,19.27
2024-08-01,17:00,19.33
2024-08-01,18:00,17.92
2024-08-01,19:00,16.67
2024-08-01,20:00,16.22
2024-08-01,21:00,19.94
2024-08-01,22:00,20.64
2024-08-01,23:00,24.99
2024-08-02,00:00,28.67
2024-08-02,01:00,31.9
2024-08-02,02:00,36.43
2024-08-02,03:00,36.55
2024-08-02,04:00,34.85
2024-08-02,05:00,44.26
2024-08-02,06:00,29.78
2024-08-02,07:00,33.6
2024-08-02,08:00,22.73
2024-08-02,09:00,14.28
2024-08-02,10:00,20.2
2024-08-02,11:00,20.09
2024-08-02,12:00,20.69
2024-08-02,13:00,19.42
2024-08-02,14:00,24.24
2024-08-02,15:00,16.83
2024-08-02,16:00,25.1
2024-08-02,17:00,17.82
2024-08-02,18:00,19.38
2024-08-02,19:00,19.6
2024-08-02,20:00,19.46
2024-08-02,21:00,20.36
2024-08-02,22:00,18.95
2024-08-02,23:00,23.99
2024-08-03,00:00,26.58
2024-08-03,01:00,35.1
2024-08-03,02:00,28.72
2024-08-03,03:00,48.15
2024-08-03,04:00,30.34
2024-08-03,05:00,36.08
2024-08-03,06:00,37.18
2024-08-03,07:00,30.31
2024-08-03,08:00,25.35
2024-08-03,09:00,23.55
2024-08-03,10:00,21.26
2024-08-03,11:00,11.0
2024-08-03,12:00,18.26
2024-08-03,13:00,12.83
2024-08-03,14:00,16.67
2024-08-03,15:00,20.2
2024-08-03,16:00,17.7
2024-08-03,17:00,20.87
2024-08-03,18:00,19.71
2024-08-03,19:00,21.08
2024-08-03,20:00,14.52
2024-08-03,21:00,14.89
2024-08-03,22:00,16.49
2024-08-03,23:00,19.59
2024-08-04,00:00,21.29
2024-08-04,01:00,30.58
2024-08-04,02:00,23.93
2024-08-04,03:00,28.35
2024-08-04,04:00,28.13
2024-08-04,05:00,40.91
2024-08-04,06:00,27.74
2024-08-04,07:00,22.58
2024-08-04,08:00,22.39
2024-08-04,09:00,19.77
2024-08-04,10:00,16.21
2024-08-04,11:00,26.54
2024-08-04,12:00,17.94
2024-08-04,13:00,19.89
2024-08-04,14:00,18.69
2024-08-04,15:00,17.87
2024-08-04,16:00,17.86
2024-08-04,17:00,16.41
2024-08-04,18:00,16.1
2024-08-04,19:00,14.18
2024-08-04,20:00,15.18
2024-08-04,21:00,13.65
2024-08-04,22:00,13.46
2024-08-04,23:00,27.4
2024-08-05,00:00,24.73
2024-08-05,01:00,33.0
2024-08-05,02:00,31.55
2024-08-05,03:00,34.54
2024-08-05,04:00,38.17
2024-08-05,05:00,28.5
2024-08-05,06:00,28.56
2024-08-05,07:00,29.9
2024-08-05,08:00,28.16
2024-08-05,09:00,14.53
2024-08-05,10:00,14.46
2024-08-05,11:00,12.39
2024-08-05,12:00,16.12
2024-08-05,13:00,16.48
2024-08-05,14:00,17.41
2024-08-05,15:00,21.75
2024-08-05,16:00,20.78
2024-08-05,17:00,18.32
2024-08-05,18:00,26.12
2024-08-05,19:00,19.69
2024-08-05,20:00,18.13
2024-08-05,21:00,19.59
2024-08-05,22:00,23.96
2024-08-05,23:00,26.0
2024-08-06,00:00,31.57
2024-08-06,01:00,26.12
2024-08-06,02:00,33.24
2024-08-06,03:00,33.23
2024-08-06,04:00,37.3
2024-08-06,05:00,37.4
2024-08-06,06:00,37.72
2024-08-06,07:00,29.71
2024-08-06,08:00,21.89
2024-08-06,09:00,17.32
2024-08-06,10:00,20.49
2024-08-06,11:00,18.52
2024-08-06,12:00,14.69
2024-08-06,13:00,18.87
2024-08-06,14:00,14.7
2024-08-06,15:00,16.19
2024-08-06,16:00,21.15
2024-08-06,17:00,18.56
2024-08-06,18:00,20.8
2024-08-06,19:00,18.3
2024-08-06,20:00,22.7
2024-08-06,21:00,19.65
2024-08-06,22:00,21.63
2024-08-06,23:00,14.51
2024-08-07,00:00,19.33
2024-08-07,01:00,26.96
2024-08-07,02:00,37.44
2024-08-07,03:00,34.02
2024-08-07,04:00,20.7
2024-08-07,05:00,30.45
2024-08-07,06:00,28.22
2024-08-07,07:00,26.72
2024-08-07,08:00,25.83
2024-08-07,09:00,25.84
2024-08-07,10:00,26.42
2024-08-07,11:00,18.92
2024-08-07,12:00,19.19
2024-08-07,13:00,14.23
2024-08-07,14:00,20.44
2024-08-07,15:00,18.73
2024-08-07,16:00,17.82
2024-08-07,17:00,18.61
2024-08-07,18:00,13.3
2024-08-07,19:00,19.78
2024-08-07,20:00,16.88
2024-08-07,21:00,17.47
2024-08-07,22:00,18.02
2024-08-07,23:00,26.7
2024-08-08,00:00,23.94
2024-08-08,01:00,26.66
2024-08-08,02:00,32.63
2024-08-08,03:00,21.05
2024-08-08,04:00,42.37
2024-08-08,05:00,36.91
2024-08-08,06:00,35.51
2024-08-08,07:00,24.61
2024-08-08,08:00,24.6
2024-08-08,09:00,22.76
2024-08-08,10:00,18.34
2024-08-08,11:00,15.71
2024-08-08,12:00,16.96
2024-08-08,13:00,13.44
2024-08-08,14:00,14.18
2024-08-08,15:00,20.62
2024-08-08,16:00,19.59
2024-08-08,17:00,19.94
2024-08-08,18:00,21.16
2024-08-08,19:00,17.65
2024-08-08,20:00,22.02
2024-08-08,21:00,19.64
2024-08-08,22:00,12.8
2024-08-08,23:00,16.63
2024-08-09,00:00,28.88
2024-08-09,01:00,25.12
2024-08-09,02:00,29.56
2024-08-09,03:00,32.25
2024-08-09,04:00,27.28
2024-08-09,05:00,35.91
2024-08-09,06:00,34.22
2024-08-09,07:00,31.21
2024-08-09,08:00,27.07
2024-08-09,09:00,27.05
2024-08-09,10:00,16.04
2024-08-09,11:00,17.36
2024-08-09,12:00,17.47
2024-08-09,13:00,18.37
2024-08-09,14:00,19.03
2024-08-09,15:00,13.88
2024-08-09,16:00,22.98
2024-08-09,17:00,23.66
2024-08-09,18:00,22.91
2024-08-09,19:00,23.33
2024-08-09,20:00,17.94
2024-08-09,21:00,18.95
2024-08-09,22:00,23.26
2024-08-09,23:00,19.72
2024-08-10,00:00,27.36
2024-08-10,01:00,30.08
2024-08-10,02:00,38.45
2024-08-10,03:00,35.63
2024-08-10,04:00,36.08
2024-08-10,05:00,31.2
2024-08-10,06:00,17.54
2024-08-10,07:00,25.86
2024-08-10,08:00,35.14
2024-08-10,09:00,29.83
2024-08-10,10:00,20.89
2024-08-10,11:00,18.33
2024-08-10,12:00,18.56
2024-08-10,13:00,14.53
2024-08-10,14:00,17.58
2024-08-10,15:00,16.91
2024-08-10,16:00,16.09
2024-08-10,17:00,19.34
2024-08-10,18:00,17.64
2024-08-10,19:00,19.01
2024-08-10,20:00,20.83
2024-08-10,21:00,17.17
2024-08-10,22:00,19.45
2024-08-10,23:00,21.44
2024-08-11,00:00,29.59
2024-08-11,01:00,32.02
2024-08-11,02:00,38.12
2024-08-11,03:00,38.6
2024-08-11,04:00,29.59
2024-08-11,05:00,24.1
2024-08-11,06:00,18.24
2024-08-11,07:00,37.34
2024-08-11,08:00,24.71
2024-08-11,09:00,26.99
2024-08-11,10:00,22.7
2024-08-11,11:00,18.19
2024-08-11,12:00,20.66
2024-08-11,13:00,15.51
2024-08-11,14:00,20.58
2024-08-11,15:00,14.39
2024-08-11,16:00,17.27
2024-08-11,17:00,19.36
2024-08-11,18:00,19.02
2024-08-11,19:00,18.22
2024-08-11,20:00,13.8
2024-08-11,21:00,19.77
2024-08-11,22:00,21.2
2024-08-11,23:00,24.37
2024-08-12,00:00,29.58
2024-08-12,01:00,23.27
2024-08-12,02:00,31.61
2024-08-12,03:00,30.96
2024-08-12,04:00,31.21
2024-08-12,05:00,49.01
2024-08-12,06:00,32.97
2024-08-12,07:00,29.11
2024-08-12,08:00,23.84
2024-08-12,09:00,26.96
2024-08-12,10:00,15.3
2024-08-12,11:00,10.74
2024-08-12,12:00,19.24
2024-08-12,13:00,17.36
2024-08-12,14:00,15.8
2024-08-12,15:00,19.18
2024-08-12,16:00,19.2
2024-08-12,17:00,17.11
2024-08-12,18:00,17.02
2024-08-12,19:00,21.79
2024-08-12,20:00,20.17
2024-08-12,21:00,20.77
2024-08-12,22:00,22.73
2024-08-12,23:00,23.33
2024-08-13,00:00,31.51
2024-08-13,01:00,31.52
2024-08-13,02:00,31.51
2024-08-13,03:00,30.33
2024-08-13,04:00,38.67
2024-08-13,05:00,41.48
2024-08-13,06:00,28.55
2024-08-13,07:00,31.5
2024-08-13,08:00,18.7
2024-08-13,09:00,22.06
2024-08-13,10:00,15.93
2024-08-13,11:00,21.08
2024-08-13,12:00,12.92
2024-08-13,13:00,13.68
2024-08-13,14:00,15.09
2024-08-13,15:00,17.67
2024-08-13,16:00,17.84
2024-08-13,17:00,24.42
2024-08-13,18:00,18.66
2024-08-13,19:00,15.13
2024-08-13,20:00,18.32
2024-08-13,21:00,13.5
2024-08-13,22:00,21.99
2024-08-13,23:00,25.1
2024-08-14,00:00,29.08
2024-08-14,01:00,32.06
2024-08-14,02:00,33.5
2024-08-14,03:00,45.53
2024-08-14,04:00,32.98
2024-08-14,05:00,39.7
2024-08-14,06:00,27.0
2024-08-14,07:00,34.28
2024-08-14,08:00,28.35
2024-08-14,09:00,25.1
2024-08-14,10:00,22.44
2024-08-14,11:00,16.99
