date,hour,average_speed_kph
2024-08-08,17:00,22.15
2024-08-08,18:00,14.84
2024-08-08,19:00,12.08
2024-08-08,20:00,11.92
2024-08-08,21:00,16.0
2024-08-08,22:00,13.53
2024-08-08,23:00,15.08
2024-08-09,00:00,22.1
2024-08-09,01:00,20.53
2024-08-09,02:00,28.53
2024-08-09,03:00,35.25
2024-08-09,04:00,57.9
2024-08-09,05:00,38.7
2024-08-09,06:00,34.9
2024-08-09,07:00,32.15
2024-08-09,08:00,16.64
2024-08-09,09:00,17.55
2024-08-09,10:00,14.12
2024-08-09,11:00,12.95
2024-08-09,12:00,8.48
2024-08-09,13:00,11.9
2024-08-09,14:00,11.8
2024-08-09,15:00,6.48
2024-08-09,16:00,12.85
2024-08-09,17:00,21.58
2024-08-09,18:00,16.15
2024-08-09,19:00,14.35
2024-08-09,20:00,15.95
2024-08-09,21:00,10.65
2024-08-09,22:00,16.35
2024-08-09,23:00,23.94
2024-08-10,00:00,16.24
2024-08-10,01:00,28.48
2024-08-10,02:00,32.85
2024-08-10,03:00,25.97
2024-08-10,04:00,49.55
2024-08-10,05:00,32.4
2024-08-10,06:00,28.3
2024-08-10,07:00,31.85
2024-08-10,08:00,32.45
2024-08-10,09:00,20.65
2024-08-10,10:00,10.7
2024-08-10,11:00,8.46
2024-08-10,12:00,19.15
2024-08-10,13:00,7.18
2024-08-10,14:00,10.02
2024-08-10,15:00,12.16
2024-08-10,16:00,6.26
2024-08-10,17:00,21.05
2024-08-10,18:00,8.32
2024-08-10,19:00,14.2
2024-08-10,20:00,11.38
2024-08-10,21:00,10.64
2024-08-10,22:00,15.47
2024-08-10,23:00,15.0
2024-08-11,00:00,25.07
2024-08-11,01:00,29.5
2024-08-11,02:00,32.05
2024-08-11,03:00,16.1
2024-08-11,04:00,19.13
2024-08-11,05:00,36.05
2024-08-11,06:00,27.55
2024-08-11,07:00,33.0
2024-08-11,08:00,28.35
2024-08-11,09:00,30.8
2024-08-11,10:00,11.7
2024-08-11,11:00,15.23
2024-08-11,12:00,11.9
2024-08-11,13:00,13.13
2024-08-11,14:00,18.23
2024-08-11,15:00,10.32
2024-08-11,16:00,10.73
2024-08-11,17:00,15.16
2024-08-11,18:00,9.93
2024-08-11,19:00,10.1
2024-08-11,20:00,11.56
2024-08-11,21:00,14.28
