segmentId,newSegmentId,streetName,frc,distance_m,speedLimit,latitude,longitude,harmonicAverageSpeed,medianSpeed,averageSpeed,sampleSize,dateRangeId,timeSetId
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,11.3,14.0,17.9,1069,1,16
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,11.4,13.0,18.5,1064,1,17
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,16.1,25.0,23.9,1166,1,18
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,14.3,21.0,21.9,1206,1,19
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,9.0,9.4,14.0,1083,1,20
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,8.2,8.3,11.0,1066,1,21
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,9.3,9.5,12.9,1112,1,22
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,10.7,11.0,15.1,1195,1,23
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,15.8,23.0,22.3,1287,1,24
-15040004546834,-00004d41-3200-0400-0000-000000549f7f,N23,1,209.62,100,33.7927525,-7.159050000000001,25.0,31.0,30.5,1119,1,25
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,26.0,30.0,30.0,1051,1,2
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,27.9,32.0,32.1,671,1,3
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,32.8,37.0,37.0,369,1,4
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,36.8,41.0,40.6,216,1,5
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,39.6,43.0,43.8,123,1,6
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,38.3,40.0,41.3,127,1,7
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,30.7,38.0,38.3,121,1,8
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,31.0,34.0,34.1,202,1,9
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,22.3,32.0,31.4,347,1,10
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,20.8,28.0,26.9,632,1,11
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,16.1,21.0,21.3,827,1,12
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,10.6,14.0,15.8,962,1,13
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,9.7,14.0,15.1,965,1,14
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,9.4,13.0,14.8,996,1,15
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,10.0,14.0,14.9,1093,1,16
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,10.0,14.0,15.4,1106,1,17
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,11.2,16.0,17.1,1194,1,18
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,10.4,15.0,15.8,1212,1,19
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,8.3,11.0,13.0,1104,1,20
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,8.4,11.0,11.7,1163,1,21
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,8.5,11.0,12.1,1168,1,22
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,9.7,12.0,13.9,1237,1,23
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,12.8,16.0,17.8,1326,1,24
-15040004902215,-00004d41-3200-0400-0000-000000549fa0,N23,1,18.05,60,33.79045,-7.158815000000001,17.8,25.0,24.3,1130,1,25
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,31.9,36.0,36.0,1043,1,2
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,33.6,38.0,38.1,661,1,3
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,40.2,44.0,43.9,362,1,4
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,43.0,47.0,47.8,212,1,5
-15040002586235,-00004d41-3200-0400-0000-000000549fa1,N23,1,151.33,60,33.791156,-7.158850000000001,46.3,49.0,50.8,123,1,6
